johnmurphy@Johns-MacBook-Pro stephen-python-words % python3 03\ based\ on\ individual\ buys\ strategy\ copy.py 
Word: RECZSCOREDIFF160, Mean Trend (%): -7.095529427750922
Word: HOTTHINGSINGLEWORDPERCGT55, Mean Trend (%): -7.144507297189666
Word: SINGLEWORDPERC55, Mean Trend (%): -7.144507297189666
Word: ZSCORESUMGT400, Mean Trend (%): -7.353728337047684
Word: spread2, Mean Trend (%): -7.82035584301948
Word: PDOLVOLLT3M, Mean Trend (%): -7.8214545301625344
Word: WORDSCORE16, Mean Trend (%): -7.853240112425251
Word: REVERSALWF, Mean Trend (%): -8.109828286207934
Word: FIFTY_JOHNSFAVOFFSET, Mean Trend (%): -8.733410031228978
Word: down40, Mean Trend (%): -8.80146631165918
Word: BBSCOREGTN50, Mean Trend (%): -8.976125221982043
Word: WORDSCOREN1, Mean Trend (%): -9.220158005915865
Word: afterhours, Mean Trend (%): -9.327401237641938
Word: PARABOLICWF, Mean Trend (%): -9.379198816224495
Word: spread3, Mean Trend (%): -9.424427956982493
Word: RECZSCOREDIFF200, Mean Trend (%): -9.521935756386808
Word: straightDown60, Mean Trend (%): -9.911163531470473
Word: spread5, Mean Trend (%): -10.587039457442398
Word: zeroToOne, Mean Trend (%): -10.985833754959035
Word: PSWORDPERC60, Mean Trend (%): -11.107437430500319
Word: bullish, Mean Trend (%): -11.902467321209642
Word: RECZSCOREDIFF80, Mean Trend (%): -12.297828146405339
Word: watchout, Mean Trend (%): -12.545635848443396
Word: PDOLVOLLT1P5M, Mean Trend (%): -14.920276181679153
Word: spreadgt6, Mean Trend (%): -15.120640066104183
Word: dailyRSIgt50, Mean Trend (%): -15.211625064758369
Word: straightDown90, Mean Trend (%): -18.99884504960572
Word: supr, Mean Trend (%): -19.523586088465077
Word: dwn, Mean Trend (%): -19.523586088465077
Word: SHORTINTERESTOFOSLT3, Mean Trend (%): -20.88756357838028
Word: stocktwits, Mean Trend (%): -21.215498039663622
Word: rhListdefault, Mean Trend (%): -21.53461130394804
Word: reversal, Mean Trend (%): -21.89908801898621
Word: DTSCOREGT200, Mean Trend (%): -23.34086160251368
Word: down10, Mean Trend (%): -25.48564332867979
Word: PSWORDPERC65, Mean Trend (%): -30.36432379111878
Word: mostBullish, Mean Trend (%): -37.338739402875035
Word: FIFTYBADNOTALOTOFDAILYOFFSET, Mean Trend (%): -45.487285403082694
